ibge,anomes,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia
251396,200403,190,14240.0
251398,200403,515,34575.0
251400,200403,383,27495.0
251410,200403,432,30660.0
251420,200403,455,33655.0
251430,200403,437,34765.0
251440,200403,378,27800.0
251445,200403,166,13290.0
251450,200403,1459,108760.0
251455,200403,391,30185.0
251460,200403,495,34095.0
251465,200403,154,9915.0
251470,200403,354,22925.0
251480,200403,146,11275.0
251490,200403,690,46695.0
251500,200403,162,12865.0
251510,200403,790,58560.0
251520,200403,353,25955.0
251530,200403,1276,100600.0
251540,200403,896,70055.0
251550,200403,945,68850.0
251560,200403,404,29520.0
251570,200403,272,20090.0
251580,200403,695,52110.0
251590,200403,566,43355.0
251593,200403,382,26280.0
251597,200403,519,40325.0
251600,200403,2943,211690.0
251610,200403,1333,94860.0
251615,200403,271,20625.0
251620,200403,4128,279175.0
251630,200403,1181,87545.0
251640,200403,886,60735.0
251650,200403,1353,101310.0
251660,200403,1202,93635.0
251670,200403,547,43465.0
251675,200403,123,9670.0
251680,200403,693,49180.0
251690,200403,967,69725.0
251700,200403,537,42140.0
251710,200403,206,13685.0
251720,200403,218,17020.0
251740,200403,104,8230.0
250010,200404,585,48010.0
250020,200404,702,49135.0
250030,200404,2403,184000.0
250040,200404,1342,101795.0
250050,200404,1153,88340.0
250053,200404,406,31340.0
250057,200404,147,11110.0
250060,200404,142,11715.0
250070,200404,1281,82625.0
250073,200404,216,15135.0
250077,200404,416,29150.0
250080,200404,976,75155.0
250090,200404,1190,84765.0
250100,200404,1134,93580.0
250110,200404,1230,83830.0
250115,200404,266,19870.0
250120,200404,412,30645.0
250130,200404,686,55590.0
250135,200404,111,9155.0
250140,200404,70,5385.0
250150,200404,1125,91815.0
250153,200404,314,22090.0
250157,200404,642,48360.0
250160,200404,1465,109880.0
250170,200404,396,28375.0
250180,200404,599,44205.0
250190,200404,537,39255.0
250200,200404,257,19340.0
250205,200404,204,15350.0
250210,200404,578,41695.0
250215,200404,273,21365.0
250220,200404,216,15575.0
250230,200404,426,30710.0
250240,200404,674,49785.0
250250,200404,1054,79775.0
250260,200404,787,55125.0
250270,200404,315,25060.0
250280,200404,829,59365.0
250290,200404,819,58230.0
250300,200404,389,32960.0
250310,200404,344,27115.0
250320,200404,738,55865.0
250330,200404,565,42405.0
250340,200404,276,19595.0
250350,200404,1136,89925.0
250355,200404,792,60850.0
250360,200404,616,45965.0
250370,200404,3032,215335.0
250375,200404,315,22335.0
250380,200404,76,5645.0
250390,200404,622,44655.0
250400,200404,10503,788095.0
250403,200404,115,9010.0
250407,200404,306,22770.0
250410,200404,153,11885.0
250415,200404,731,53185.0
250420,200404,313,23650.0
250430,200404,1728,129670.0
250435,200404,431,31710.0
250440,200404,1078,73880.0
250450,200404,494,38120.0
250460,200404,1240,86325.0
250470,200404,532,38610.0
250480,200404,788,54140.0
250485,200404,138,9375.0
250490,200404,1127,85240.0
250500,200404,277,20810.0
250510,200404,1921,137310.0
250520,200404,447,33975.0
250523,200404,129,9170.0
250527,200404,350,27220.0
250530,200404,261,19510.0
250535,200404,469,35105.0
250540,200404,695,52815.0
250550,200404,367,25685.0
250560,200404,643,49665.0
250570,200404,849,66810.0
250580,200404,461,33545.0
250590,200404,335,24995.0
250600,200404,1642,125410.0
250610,200404,925,71160.0
250620,200404,233,16120.0
250625,200404,507,39265.0
